Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 4096, 1, 64, 512, 0.65489, 0.26352, 0.130677, 0.0771456, 0.195758, 0.130677, 0.327445, 0, 0, 0.0250304, 0.0275367, 94.9849, 0, -nan, 0, 0.0527046, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 37.1796, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0515679, 0.037991, 0.492818, 1.03096, 0, 1, 576, 0.0067582, 0.037991, 0.0318367, 0.00681875, 0, 0, 0, 20.603, 0.961175, 127.192, 50, 10, 10, 0.930328
65, 8192, 1, 1, 512, 0.540947, 0.442509, 0.212061, 0.212061, 0.195379, 0.133508, 0.504827, 0, 0, 0.0509775, 0.0518691, 115.201, 6.04504, 6.04504, 0, 0.446486, 2, 4, 1, 1, 1, 2, 2, 4, 2, 1, 2, 2, 9.69086, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0491643, 0.0392276, 0.446776, 0.715845, 0, 2, 1152, 0.00413718, 0.0389346, 0.032586, 0.0059935, 0, 0, 0, 5.05814, 1.14091, 63.5899, 50, 10, 10, 1.33888
65, 8192, 1, 2, 512, 1.00566, 0.431205, 0.267444, 0.267444, 0.184972, 0.21747, 0.501953, 0, 0, 0.11155, 0.108688, 258.693, 9.68916, 9.68916, 0, 0.70312, 4, 4, 1, 2, 2, 1, 2, 4, 1, 1, 2, 1, 6.15376, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.109663, 0.0951573, 0.452129, 0.721198, 3.60951, 2, 1152, 0.00525874, 0.0622867, 0.0577241, 0.00996888, 0, 0, 0, 2.81391, 1.04277, 79.3309, 50, 10, 10, 0.702919
65, 8192, 1, 4, 512, 1.26074, 0.789593, 0.365819, 0.365819, 0.24126, 0.316643, 0.500127, 0, 0, 0.341229, 0.335543, 432.158, 20.4525, 20.4525, 0, 1.5482, 4, 2, 1, 1, 4, 1, 2, 4, 0.5, 1, 1, 1, 2.79474, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.339142, 0.321777, 0.32809, 0.866228, 14.4007, 2, 2304, 0.00887483, 0.206941, 0.20199, 0.00982946, 0, 0, 0, 0.93269, 0.284224, 92.681, 50, 10, 10, 0.416061
65, 8192, 1, 8, 512, 1e+39, 1e+39, 1.33686e-302, 1.90273e-304, 2.08601e-300, -3.34537e+276, 0, -2.13806e+272, -2.16835e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.77927e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.12708e+267, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 2.05134e-305, -inf, 1.69731e-304, -3.34537e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.13806e+275, -3.28553e+276, -3.26879e+276, -nan, 3.81251e-304, 1.90273e-304, -2.79994e+276, -3.35064e+267, -3.28553e+267, -1.29287e+267, 50, 10, 10, 1.19056e-40
65, 8192, 1, 16, 512, 1e+39, 1e+39, 1.33686e-302, 1.90273e-304, 2.08601e-300, -3.32925e+276, 0, -2.12798e+272, -2.15827e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.76314e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.11095e+267, 0.734018, 0.282409, 0, 0, 0, 2.05134e-305, -inf, 1.69744e-304, -3.32925e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.12799e+275, -3.2694e+276, -3.25267e+276, -nan, 3.81251e-304, 1.90273e-304, -2.78382e+276, -3.33452e+267, -3.2694e+267, -1.28481e+267, 50, 10, 10, 2.2009e-41
65, 8192, 1, 32, 512, 1e+39, 1e+39, 1.33686e-302, 1.90273e-304, 2.08601e-300, -3.57915e+276, 0, -2.28417e+272, -2.31446e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -3.01304e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.36085e+267, 0.734018, 0.282409, 0, 0, 0, 2.0514e-305, -inf, 1.69747e-304, -3.57914e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.28417e+275, -3.5193e+276, -3.50256e+276, -nan, 3.81252e-304, 1.90273e-304, -3.03371e+276, -3.58441e+267, -3.5193e+267, -1.40976e+267, 50, 10, 10, 1.62337e-41
65, 8192, 1, 64, 512, 1e+39, 1e+39, 1.33686e-302, 1.90272e-304, 2.08601e-300, -2.87783e+276, 0, -1.84584e+272, -1.87613e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.31172e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.65953e+267, 0.734018, 0.282409, 0, 0, 0, 2.05123e-305, -inf, 1.69745e-304, -2.87783e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.84585e+275, -2.81798e+276, -2.80124e+276, -nan, 3.8125e-304, 1.90272e-304, -2.33239e+276, -2.88309e+267, -2.81798e+267, -1.0591e+267, 50, 10, 10, 1.85575e-41
65, 8192, 1, 128, 512, 0.65489, 0.26352, 0.130677, 0.0771456, 0.195758, 0.130677, 0.327445, 0, 0, 0.0499825, 0.0524888, 189.672, 0, -nan, 0, 0.101137, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 38.7501, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0515679, 0.037991, 0.492818, 1.03096, 0, 2, 576, 0.0067582, 0.037991, 0.0318367, 0.00681875, 0, 0, 0, 10.3177, 0.481341, 63.6956, 50, 10, 10, 1.33326
65, 8192, 1, 128, 512, 0.65489, 0.26352, 0.130677, 0.0771456, 0.195758, 0.130677, 0.327445, 0, 0, 0.0499825, 0.0524888, 189.672, 0, -nan, 0, 0.101137, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 38.7501, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0515679, 0.037991, 0.492818, 1.03096, 0, 2, 576, 0.0067582, 0.037991, 0.0318367, 0.00681875, 0, 0, 0, 10.3177, 0.481341, 63.6956, 50, 10, 10, 1.33326
65, 16384, 1, 1, 512, 0.570123, 0.451682, 0.22079, 0.22079, 0.202722, 0.146611, 0.511564, 0, 0, 0.0599881, 0.0660934, 132.81, 11.6365, 11.6365, 0, 0.525, 2, 4, 1, 1, 1, 2, 2, 4, 4, 8, 1, 1, 16.4832, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0577631, 0.0457486, 0.837627, 1.1067, 0, 2, 1152, 0.00428354, 0.0453613, 0.0356402, 0.00796792, 0, 0, 0, 7.58974, 0.969534, 59.2755, 50, 10, 10, 1.55239
65, 16384, 1, 2, 512, 1.02468, 0.447918, 0.302987, 0.302987, 0.200787, 0.22643, 0.51085, 0, 0, 0.118722, 0.116823, 265.054, 15.2415, 15.2415, 0, 0.774324, 4, 4, 1, 2, 2, 1, 2, 4, 2, 1, 2, 2, 11.1758, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.115327, 0.098738, 0.827402, 1.09647, 3.61263, 2, 1152, 0.00555856, 0.0656108, 0.0592621, 0.0119433, 0, 0, 0, 4.30698, 0.979776, 76.0386, 50, 10, 10, 0.764798
65, 16384, 1, 4, 512, 1.26889, 0.789593, 0.363308, 0.363308, 0.24126, 0.319465, 0.507966, 0, 0, 0.206789, 0.190919, 261.893, 18.7137, 18.7137, 0, 1.27224, 4, 4, 1, 1, 4, 2, 2, 4, 1, 1, 2, 1, 6.80192, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.203209, 0.168479, 0.667384, 1.74366, 7.23148, 2, 4608, 0.0164186, 0.109595, 0.104449, 0.0196589, 0, 0, 0, 3.07812, 0.938014, 78.0291, 50, 10, 10, 0.398564
65, 16384, 1, 8, 512, 1.87869, 0.789593, 0.681092, 0.681092, 0.24126, 0.641156, 0.506145, 0, 0, 0.814282, 0.799294, 1031.27, 56.9163, 56.9163, 0, 3.1488, 8, 2, 1, 1, 8, 1, 2, 4, 0.5, 1, 1, 1, 2.74824, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.810212, 0.775482, 0.656181, 1.73246, 44.4206, 2, 4608, 0.0192991, 0.315935, 0.310206, 0.0196589, 0, 0, 0, 0.781697, 0.238211, 94.4266, 50, 10, 10, 0.248204
65, 16384, 1, 16, 512, 1e+39, 1e+39, 1.33686e-302, 1.9027e-304, 2.08601e-300, -2.40222e+276, 0, -1.54859e+272, -1.57888e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -1.94988e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.18392e+267, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 2.05111e-305, -inf, 1.69719e-304, -2.40222e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.54859e+275, -2.34237e+276, -2.32564e+276, -nan, 3.81249e-304, 1.9027e-304, -1.96022e+276, -2.40749e+267, -2.34237e+267, -9.26561e+266, 50, 10, 10, 4.94081e-40
65, 16384, 1, 32, 512, 1e+39, 1e+39, 1.33686e-302, 1.9027e-304, 2.08601e-300, -2.39416e+276, 0, -1.54355e+272, -1.57384e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -1.94585e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.17586e+267, 0.734018, 0.282409, 0, 0, 0, 2.0511e-305, -inf, 1.69732e-304, -2.39416e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.54355e+275, -2.33431e+276, -2.31758e+276, -nan, 3.81249e-304, 1.9027e-304, -1.95619e+276, -2.39943e+267, -2.33431e+267, -9.24546e+266, 50, 10, 10, 8.97208e-41
65, 16384, 1, 64, 512, 1e+39, 1e+39, 1.33686e-302, 1.90274e-304, 2.08601e-300, -3.7968e+276, 0, -2.4202e+272, -2.45049e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -3.23069e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.5785e+267, 0.734018, 0.282409, 0, 0, 0, 2.05146e-305, -inf, 1.69727e-304, -3.79679e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.4202e+275, -3.73695e+276, -3.72021e+276, -nan, 3.81252e-304, 1.90274e-304, -3.25136e+276, -3.80206e+267, -3.73695e+267, -1.51859e+267, 50, 10, 10, 2.58011e-40
65, 16384, 1, 128, 512, 1e+39, 1e+39, 1.33686e-302, 1.90271e-304, 2.08601e-300, -2.60375e+276, 0, -1.67455e+272, -1.70483e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.05065e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.38545e+267, 0.734018, 0.282409, 0, 0, 0, 2.05116e-305, -inf, 1.69753e-304, -2.60375e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.67455e+275, -2.5439e+276, -2.52717e+276, -nan, 3.81249e-304, 1.90271e-304, -2.06098e+276, -2.60902e+267, -2.5439e+267, -9.76943e+266, 50, 10, 10, 5.81355e-42
